link,text,user,likes,quotes,retweets,comments
https://twitter.com/Python_Dv/status/1817113192952209427#m,Python data type https://morioh.com/a/93f1b1efd7b1/python-tutorial-for-beginners-data-types #python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience,Python Developer,132,0,29,1
https://twitter.com/MontyBoa99/status/1816848344557211916#m,"""One anecdote is not data. And even if it were, one data point doesn't signal a trend or group. You could just be looking at an exception. So, beware of people who try to make a case with just one story. They often don't mean well.""    - Everybody's 5th grade Science teacher",Monty Boa,10,0,7,2
https://twitter.com/mtshabr/status/1817183623063458171#m,"banget! kl semisal km jd saintis (aamiin?), sgt direkomendasikan hub ke society (living being) nya juga. haha nope! bagiku individual health misery ini valueable bgt kr sejarah lived experiences sbg dampak dari lingkungan gini jd data keterkaitan natural-social science",Dinda Shabrina,1,0,0,1
https://twitter.com/smsandhya25/status/1814654384384385491#m,"𝗣𝗮𝗶𝗱 𝗖𝗼𝘂𝗿𝘀𝗲 𝗙𝗥𝗘𝗘 (PART - 1 + 2 + 3 )  1. Artificial Intelligence + Data Analyst  2. Machine Learning + Data Science 3. Cloud Computing + Web Development  4. Ethical Hacking + Hacking  5. Data Analytics + DSA  6. AWS Certified + IBM COURSE 7. Data Science + Deep Learning  8. BIG DATA + SQL COMPLETE COURSE 9. Python + OTHERS  10 MBA + HANDWRITTEN NOTES  (72 Hours only ) Cost About - $500  To get: -  1. Follow @smsandhya25  2. Like & retweet 3. Reply ""Free""",Sandhya Mishra,700,4,296,353
https://twitter.com/Eyowhite3/status/1817183352295686292#m,3. Applied Data Science with Python:,"Eyo Eyo, PhD",1,0,0,0
https://twitter.com/RosanaFerrero/status/1817077508598014382#m,📣 Hoja de referencia con algunas ideas sobre diferentes formas de visualizar datos porcentuales y ayudarte a dejar de usar gráficos circulares todo el tiempo. 🙏🏼 https://buff.ly/3CC7HG2 #stats #analytics #datascience,Rosana Ferrero 📈📊🙌,154,0,32,0
https://twitter.com/RYAN_SHIU/status/1817183139338621284#m,Bayesian Thinking in Modern Data Science https://www.kdnuggets.com/bayesian-thinking-in-modern-data-science,RYAN SHIU,0,0,0,0
https://twitter.com/mrAyoku/status/1786038685332545982#m,Land a higher-paying job by learning Data Analytics and Data Science from industry experts in our 14-week online experience.   Enrolment is ongoing for next cohort 👉🏽 https://resagratia.com/bootcamp,Tobi Williams,2213,8,321,107
https://twitter.com/tejfbanalytics/status/1816812196715778301#m,"""import pandas as pd"" and ""library(tidyverse)"" are the data science equivalents of establishing the run  just something you feel like you have to do every time, whether or not you actually need it",Tej Seth,313,0,13,16
https://twitter.com/JOBCORNER247/status/1817153936584794190#m,Free Certification Courses to Learn Data Analytics in 2024:  1. Python 🔗 https://imp.i384100.net/5gmXXo  2. SQL 🔗 https://edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql  3. Statistics and R 🔗 https://edx.org/learn/r-programming/harvard-university-statistics-and-r  4. Data Science: R Basics 🔗https://edx.org/learn/r-programming/harvard-university-data-science-r-basics  5. Excel and PowerBI 🔗 https://learn.microsoft.com/en-gb/training/paths/modern-analytics/  6. Data Science: Visualization 🔗https://edx.org/learn/data-visualization/harvard-university-data-science-visualization  7. Data Science: Machine Learning 🔗https://edx.org/learn/machine-learning/harvard-university-data-science-machine-learning  8. R 🔗https://imp.i384100.net/rQqomy  9. Tableau 🔗https://imp.i384100.net/MmW9b3  10. PowerBI 🔗 https://lnkd.in/dpmnthEA  11. Data Science: Productivity Tools 🔗 https://lnkd.in/dGhPYg6N  12. Data Science: Probability 🔗https://mygreatlearning.com/academy/learn-for-free/courses/probability-for-data-science  13. Mathematics 🔗matlabacademy.mathworks.com  14. Statistics 🔗 https://lnkd.in/df6qksMB  15. Data Visualization 🔗https://imp.i384100.net/k0X6vx  16. Machine Learning 🔗 https://imp.i384100.net/nLbkN9  17. Deep Learning 🔗 https://imp.i384100.net/R5aPOR  18. Data Science: Linear Regression  🔗https://pll.harvard.edu/course/data-science-linear-regression/2023-10  19. Data Science: Wrangling 🔗https://edx.org/learn/data-science/harvard-university-data-science-wrangling  20. Linear Algebra 🔗 https://pll.harvard.edu/course/data-analysis-life-sciences-2-introduction-linear-models-and-matrix-algebra  21. Probability 🔗 https://pll.harvard.edu/course/data-science-probability  22. Introduction to Linear Models and Matrix Algebra 🔗https://edx.org/learn/linear-algebra/harvard-university-introduction-to-linear-models-and-matrix-algebra  23. Data Science: Capstone 🔗 https://edx.org/learn/data-science/harvard-university-data-science-capstone   24. Data Analysis 🔗 https://pll.harvard.edu/course/data-analysis-life-sciences-4-high-dimensional-data-analysis  25. IBM Data Science Professional Certificate https://imp.i384100.net/9gxbbY  26. Neural Networks and Deep Learning https://imp.i384100.net/DKrLn2  27. Supervised Machine Learning: Regression and Classification https://imp.i384100.net/g1KJEA,Job Corner,37,0,16,0
https://twitter.com/tut_ml/status/1817042784383091010#m,Best Gen AI Courses- https://www.mltut.com/best-generative-ai-courses/ @KirkDBorne @antgrasso @ronald_vanloon #MachineLearning #DeepLearning #BigData #Datascience #ML #HealthTech #DataVisualization #ArtificialInteligence #SoftwareEngineering #GenAI #deeplearning #ChatGPT #OpenAI #SQL #python #AI #ML,tut_ml,63,0,18,0
https://twitter.com/ackocher/status/1816843546894180732#m,"Interested in immigration data? John Oliver's lucid and well-researched take-down of the ""migrant crime wave"" narrative is a masterclass in social science communication. Punchline? Migrants ≠ crime.   Watch the video for yourself: https://www.youtube.com/watch?v=axsgzg3RyF0","Austin Kocher, PhD",90,10,28,24
https://twitter.com/Sighhhhg/status/1817153451102507259#m,I am finally an Artificial intelligence and data science engineer nowww✨🥳 also first female engineer from both side of the family!!!!😭❤️,Saniya!,64,0,2,14
https://twitter.com/fjimenezmotte/status/1817182714073665683#m,fjimenezmotte.com/service-1/ @stockfjm @fjimenezmotte @Mathematics_NT @Mathematic71620 #Robot #MachineLearning #control #datascience,Neuromorphic Technologies NT,0,0,0,0
https://twitter.com/ratingology/status/1817182669094162484#m,Average & Peak Concurrent Users of English News Channels on Date: 27/July/2024  from 03 PM to 06 PM For More Insight and detail report Subscribe #Ratingology #Mediastats #RatingsKaBaap #DataScience #IndiaToday #Wion #RepublicTV #CNNNews18 #TimesNow #NewsX #NDTV24x7 #MirrorNow,RATINGOLOGY,0,0,0,0
https://twitter.com/codeMdSanto/status/1817057422370046221#m,"Get Paid Courses for Free (48 Hours Only)  1. Artificial Intelligence 2. Machine Learning 3. Cloud Computing 4. Ethical Hacking 5. Data Analytics 6. AWS Certified 7. Data Science 8. Big Data 9. Python 10. MBA  To Get: 1. Follow @codeMdSanto  2. Like & Retweet 3. Reply ""C""",Md Santo,185,0,122,157
https://twitter.com/fjimenezmotte/status/1817182649791738303#m,Fuzzy Control Systems                    https://youtube.com/watch?v=8WjkxYXW77c&t=382s…  @stockfjm @fjimenezmotte @Mathematics_NT @Mathematic71620 #Robot #MachineLearning #control #datascience,Neuromorphic Technologies NT,0,0,0,0
https://twitter.com/fjimenezmotte/status/1817182639872229815#m,Master Class : Gamma Function [Introduction]              https://youtube.com/watch?v=FPSged9uhsk…  @stockfjm @fjimenezmotte @Mathematics_NT @Mathematic71620 #Robot #MachineLearning #control #DataScience,Neuromorphic Technologies NT,0,0,0,0
https://twitter.com/TDataScience/status/1817113449173766275#m,How to Switch from Data Analytics to Data Science – From a Big Tech Data Scientist  The only 5-steps roadmap you need. Your new career journey starts here!   🖋️ by @elalamik https://buff.ly/3WwIKFX,Towards Data Science,23,0,6,1
https://twitter.com/gp_pulipaka/status/1816313931989660051#m,Neural Networks! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode https://geni.us/Neural-Networks-AI,Dr. Ganapathi Pulipaka 🇺🇸,134,0,50,1
https://twitter.com/KirkDBorne/status/1817047607832723490#m,"#MachineLearning Model-Serving Patterns & Best Practices — Definitive guide to deploying, monitoring, & providing accessibility to #ML models in production: amzn.to/3vNwKoT via @PacktPublishing —— #AI #DeepLearning #DataScience #DataScientists #MLOps #CDO #DataEngineering",Kirk Borne,47,0,14,0
https://twitter.com/DS_Fafa_/status/1817182569810858461#m,How to Approach Complex Data Science Topics as a Beginner  https://towardsdatascience.com/how-to-approach-complex-data-science-topics-as-a-beginner-33f60b657ba2,fafa.👩🏻‍💻,1,0,0,0
https://twitter.com/Analytics_699/status/1813469908660802010#m,"The Rise of Agentic Data Generation : AgentInstruct is an agentic framework designed to generate Large-scale , Diverse , Hight quality synthetic Data ▶️ #BigData #AI #MachineLearning #Python #javascript #TensorFlow #HTML #LLM #Robotics #Cloud #DataScience #SelfDrivingCars #Coding #100DaysOfCode https://huggingface.co/blog/mlabonne/agentic-datagen",Mack #TechforGood,16,0,13,0
https://twitter.com/ratingology/status/1817182499094802500#m,Average & Peak Concurrent Users of Hindi News Channels on Date -27/July/2024  from 03 PM to 06 PM For More Insight and detail report Subscribe #Ratingology #Ratingology #Mediastats #RatingsKaBaap #Datascience #Aajtak #ZeeNews #IndiaTV #abpnews #Indianmedi,RATINGOLOGY,0,0,0,0
https://twitter.com/Analytics_699/status/1813209743546024278#m,❓Ethical Questions on Artificial  Intelligence ▶️ #AI #MachineLearning #Python #DataScience #BigData #LLM #Robotics #AIEthics #ML #EthicalAI #100DaysOfCode,Mack #TechforGood,16,0,14,0
https://twitter.com/amankk_9/status/1817153132616446191#m,"Here's a list of 35+ Advanced #DataScience projects to boost your resume:  Data Analytics & Data Manipulation: 1. IPL 2024 RCB vs DC Analysis 2. Metro Operations Optimization  ML and Statistical Modelling: 1. Price Optimization 2. Portfolio Optimization  Deep Learning and Advanced NLP: 1. Fashion Recommendation System Using Image Features 2. Code Generation using LLMs  Data Engineering: 1. Data Collection with APIs for Dataset Creation 2. Web Data ETL Pipeline  and many more...  Find this list of Data Science projects, solved & explained using Python here: https://bit.ly/data-sience-projects-resume",Aman Kharwal,27,0,9,2
https://twitter.com/VisualpathEdu/status/1816781944031502419#m,"#GenerativeAI  Online Weekend Boot Camp (10hrs) On 27th July, At 09:00AM (IST) Fee-10,000/- Call: +91 9989971070. WhatsApp: https://www.whatsapp.com/catalog/919989971070 Visit: https://visualpath.in/generative-ai-course-online-training.html #ArtificialIntelligence #DataScience #deeplearning #machinelearning #python #Ai #genai #bootcamp #ML",Visualpath,8,0,7,0
https://twitter.com/ABridgen/status/1817160216569348473#m,"🚨Oxford University’s Bennett Institute for Applied Data Science study of more than a million vaccinated/unvaccinated children and teenagers finds only the vaccinated contracted myocarditis/pericarditis.  👉🏻 “Among both adolescents and children, myocarditis and pericarditis were documented only in the vaccinated groups.” 👉🏻 “Amongst 283,422 previously unvaccinated children and 132,462 children who had received a first vaccine dose, COVID-19-related outcomes were too rare to allow IRRs to be estimated precisely.” 👉🏻 “There were no COVID-19-related deaths in any group.” 👉🏻 “Protection against positive SARS-CoV-2 tests was transient.” 🚨Much myocarditis and pericarditis is sub clinical.  🚨There is in my view no such thing as mild myocarditis or pericarditis. Especially not in children. ALL RISK NO REWARD. PLEASE DON’T PUT THIS STUFF IN YOUR CHILDREN’S VEINS.  https://www.medrxiv.org/content/10.1101/2024.05.20.24306810v1 https://www.bennett.ox.ac.uk/papers/10.1101/2024.05.20.24306810/",Andrew Bridgen,754,12,425,25
https://twitter.com/MrDash109/status/1816952330194924030#m,"Scientific consensus long ago concluded by burning fossil fuels humankind increases CO2 levels. Scientific models today are based on current data. If they are scary, so be it. Whatever the politics, the science is sound - and Pierre Poilievre is a nitwit.  Period. End of story.",FranklyMyDear,578,18,254,197
https://twitter.com/oceanprotocol/status/1813238557479170411#m,"Data Scientists, want to showcase your #datascience skills & win big?  Then the 'French Fiscal #AI Innovation' #DataChallenge is what you’re looking for: use @EU_Commission's tax data to build #ML models.  ⏳ Join now: https://bit.ly/3VDMRQ8  📅 Deadline: July 23, 13:00 UTC",Ocean Protocol,1005,2,909,1152
https://twitter.com/kamran4300/status/1817063097342754821#m,"Paid Course for free  1. Artificial Intelligence 2. Machine Learning 3. Cloud Computing 4. Ethical Hacking 5. Data Analytics 6. AWS Certified 7. Data Science 8. BIG DATA 9. Python 10 MBA  (24Hours only )  To get: 1. Follow @kamran4300  2. Like & retweet 3. Reply ""course""",Hasan Rajpoot,282,1,161,224
